,温氏股份,益生股份,仙坛股份,圣农发展,民和股份,正邦科技,天邦股份,牧原股份,上证指数,华英农业,yhat
2019-08-05 14:23:06,42.94,25.72,17.6,28.8,35.72,20.58,15.3,78.26,14.1486175,5.95,6.478353397450496
2019-08-05 14:23:07,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.26,14.1486175,5.95,6.47930239010871
2019-08-05 14:23:09,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.26,14.1486175,5.95,6.47930239010871
2019-08-05 14:23:10,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.26,14.1530535,5.95,6.481215078563629
2019-08-05 14:23:11,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.25,14.1530535,5.95,6.481734679015746
2019-08-05 14:23:12,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.25,14.1530535,5.95,6.481734679015746
2019-08-05 14:23:13,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.25,14.1530535,5.95,6.481734679015746
2019-08-05 14:23:14,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.25,14.1530535,5.95,6.481734679015746
2019-08-05 14:23:15,42.95,25.72,17.6,28.8,35.73,20.58,15.3,78.25,14.1530535,5.95,6.481734679015746
2019-08-05 14:23:17,42.96,25.72,17.6,28.8,35.73,20.58,15.3,78.21,14.149939,5.95,6.483184531367812
2019-08-05 14:23:18,42.96,25.72,17.6,28.8,35.73,20.58,15.3,78.21,14.149939,5.95,6.483184531367812
2019-08-05 14:23:19,42.96,25.72,17.6,28.8,35.73,20.58,15.3,78.21,14.149939,5.95,6.483184531367812
2019-08-05 14:23:20,42.96,25.72,17.6,28.8,35.74,20.57,15.3,78.22,14.149177,5.95,6.482130110327569
2019-08-05 14:23:24,42.96,25.72,17.6,28.8,35.74,20.57,15.3,78.22,14.149177,5.95,6.482130110327569
2019-08-05 14:23:25,42.96,25.72,17.6,28.79,35.74,20.58,15.29,78.22,14.150687499999998,5.95,6.482754053993222
2019-08-05 14:23:26,42.95,25.72,17.59,28.79,35.75,20.58,15.29,78.24,14.150687499999998,5.95,6.480745244200946
2019-08-05 14:23:27,42.95,25.72,17.6,28.78,35.75,20.58,15.29,78.24,14.150687499999998,5.95,6.4810009860010585
2019-08-05 14:23:29,42.95,25.72,17.6,28.78,35.75,20.58,15.29,78.2,14.150687499999998,5.95,6.483079387809525
2019-08-05 14:23:33,42.95,25.72,17.6,28.78,35.74,20.58,15.29,78.22,14.1508035,5.95,6.48185555282801
2019-08-05 14:23:34,42.95,25.73,17.6,28.78,35.76,20.58,15.29,78.22,14.1508035,5.95,6.482463412685407
2019-08-05 14:23:35,42.93,25.73,17.6,28.78,35.76,20.58,15.29,78.22,14.150133,5.95,6.480745625666129
2019-08-05 14:23:36,42.95,25.72,17.6,28.79,35.75,20.58,15.29,78.23,14.150133,5.95,6.4815156753794945
2019-08-05 14:23:38,42.95,25.72,17.59,28.79,35.75,20.58,15.29,78.23,14.150133,5.95,6.481025758596198
2019-08-05 14:23:39,42.95,25.72,17.59,28.79,35.75,20.58,15.29,78.25,14.150133,5.95,6.479986557691966
2019-08-05 14:23:41,42.95,25.72,17.6,28.79,35.75,20.58,15.29,78.25,14.150869,5.95,6.480793818637304
2019-08-05 14:23:42,42.95,25.72,17.6,28.79,35.75,20.58,15.29,78.25,14.150869,5.95,6.480793818637304
2019-08-05 14:23:43,42.94,25.72,17.6,28.79,35.76,20.58,15.3,78.24,14.150869,5.95,6.481067813039402
2019-08-05 14:23:44,42.94,25.72,17.6,28.79,35.76,20.58,15.3,78.24,14.150869,5.95,6.481067813039402
2019-08-05 14:23:46,42.94,25.72,17.6,28.78,35.76,20.58,15.3,78.24,14.1504385,5.95,6.4806480175918715
2019-08-05 14:23:47,42.94,25.72,17.6,28.78,35.76,20.58,15.3,78.24,14.1504385,5.95,6.4806480175918715
2019-08-05 14:23:48,42.94,25.72,17.6,28.78,35.76,20.58,15.3,78.24,14.1504385,5.95,6.4806480175918715
2019-08-05 14:23:49,42.93,25.71,17.6,28.78,35.76,20.57,15.29,78.26,14.1504385,5.95,6.478080912772146
